fusion_name,file_name,kind,qty,bodies,children,material,mass_g,bbox_x_mm,bbox_y_mm,bbox_z_mm,linked,out_of_date,path
H4,H4,subassembly,2,0,9,,1.0,4.9,7.4,11.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H4:1
1653246912,1653246912,subassembly,2,0,1,,0.1,1.1,1.1,11.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H4:1+1653246912:1
Extruded (4),Extruded_4,part,2,1,0,servo_board,0.1,1.1,1.1,11.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H4:1+1653246912:1+Extruded (4):1
H5,H5,subassembly,2,0,1,,1.5,10.0,4.7,9.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+H5:1
LED1,LED1,subassembly,2,0,1,,0.0,0.8,1.6,0.6,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+LED1:1
User_Library-LED_0603_R,User_Library-LED_0603_R,subassembly,2,0,5,,0.0,1.6,0.8,0.6,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+LED1:1+User_Library-LED_0603_R:1
User_Library-LED_0603_R_Fillet,User_Library-LED_0603_R_Fillet,part,2,1,0,servo_board,0.0,1.0,0.7,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+LED1:1+User_Library-LED_0603_R:1+User_Library-LED_0603_R_Fillet:1
User_Library-LED_0603_R_Pad004,User_Library-LED_0603_R_Pad004,part,2,1,0,servo_board,0.0,0.4,0.8,0.0,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+LED1:1+User_Library-LED_0603_R:1+User_Library-LED_0603_R_Pad004:1
User_Library-LED_0603_R_Pad,User_Library-LED_0603_R_Pad,part,2,1,0,servo_board,0.0,0.8,0.8,0.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+LED1:1+User_Library-LED_0603_R:1+User_Library-LED_0603_R_Pad:1
User_Library-LED_0603_R_Pocket001,User_Library-LED_0603_R_Pocket001,part,2,1,0,servo_board,0.0,0.4,0.8,0.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+LED1:1+User_Library-LED_0603_R:1+User_Library-LED_0603_R_Pocket001:1
